PLNNR,MATNR,OPERATION_SEQ,ARBPL,STD_TIME_MIN
RTG-7032,MAT-1046,40,WC-109,44.1
RTG-7033,MAT-1047,10,WC-113,14.5
RTG-7033,MAT-1047,20,WC-105,5.4
RTG-7033,MAT-1047,30,WC-115,13.0
RTG-7034,MAT-1050,10,WC-104,25.2
RTG-7034,MAT-1050,20,WC-115,13.7
RTG-7034,MAT-1050,30,WC-102,27.2
RTG-7035,MAT-1051,10,WC-101,24.8
RTG-7035,MAT-1051,20,WC-111,6.3
RTG-7036,MAT-1052,10,WC-112,31.3
RTG-7036,MAT-1052,20,WC-918,44.1
RTG-7036,MAT-1052,30,WC-103,42.2
RTG-7037,MAT-1054,10,WC-108,34.5
RTG-7037,MAT-1054,20,WC-105,29.8
RTG-7037,MAT-1054,30,WC-115,30.0
RTG-7038,MAT-1055,10,WC-109,38.6
RTG-7038,MAT-1055,20,WC-101,9.5
RTG-7039,MAT-1059,10,WC-115,44.9
RTG-7039,MAT-1059,20,WC-107,10.0
RTG-7040,MAT-1063,10,WC-114,39.7
RTG-7040,MAT-1063,20,WC-101,27.9
RTG-7040,MAT-1063,30,WC-115,14.2
RTG-7040,MAT-1063,40,WC-111,23.2
