MATNR,MTART,MAKTX,MEINS,WERKS,DISMM,MINBE,EISBE
MAT-1072,ROH,ROH Component 72,l,1000 ,PD,368.0,86.0
MAT-1073,HALB,HALB Component 73,KG,1000 ,ND,337.0,52.0
MAT-1074,FERT,FERT Component 74,KG,DE01,ND,177.0,72.0
MAT-1075,ROH,ROH Component 75,ea,1000,,209.0,28.0
MAT-1076,ROH,ROH Component 76,l,1000 ,ND,56.0,71.0
MAT-1077,ROH,ROH Component 77,l,1000 ,ND,178.0,57.0
MAT-1078,ROH,ROH Component 78,kg,DE01,VB,69.0,16.0
MAT-1079,FERT,FERT Component 79,PC,DE01,PD,489.0,32.0
MAT-1080,FERT,FERT Component 80,KG,DE01,PD,17.0,31.0
MAT-1081,ROH,ROH Component 81,Kilogram,1100,ND,379.0,6.0
MAT-1082,HALB,HALB Component 82,kg,DE01,PD,35.0,50.0
MAT-1083,HALB,HALB Component 83,KG,1000,VB,407.0,13.0
MAT-1084,FERT,FERT Component 84,l,1100,,196.0,33.0
MAT-1085,HALB,HALB Component 85,Liter,1000,VB,373.0,25.0
MAT-1086,HALB,HALB Component 86,L,1100,,280.0,44.0
MAT-1087,HALB,HALB Component 87,ea,DE01,ND,354.0,70.0
MAT-1088,ROH,ROH Component 88,Liter,1100,VB,277.0,91.0
MAT-1089,FERT,FERT Component 89,ea,DE01,,414.0,47.0
MAT-1090,ROH,ROH Component 90,Kilogram,1000 ,PD,255.0,13.0
MAT-1091,HALB,HALB Component 91,l,DE01,PD,,69.0
MAT-1092,ROH,ROH Component 92,Kilogram,1000,ND,96.0,47.0
MAT-1093,FERT,FERT Component 93,l,1000 ,PD,240.0,36.0
MAT-1094,FERT,FERT Component 94,kg,1000 ,,473.0,57.0
MAT-1095,FERT,FERT Component 95,kg,DE01,PD,389.0,83.0
MAT-1096,ROH,ROH Component 96,l,1000 ,,,64.0
MAT-1097,ROH,ROH Component 97,KG,1100,,74.0,89.0
MAT-1098,FERT,FERT Component 98,ea,1100,PD,17.0,26.0
MAT-1099,HALB,HALB Component 99,ea,1000 ,,153.0,44.0
MAT-1100,HALB,HALB Component 100,PC,1100,PD,462.0,89.0
MAT-1101,HALB,HALB Component 101,kg,DE01,,149.0,61.0
MAT-1102,FERT,FERT Component 102,Kilogram,1000 ,ND,280.0,48.0
MAT-1103,FERT,FERT Component 103,L,1000 ,,390.0,
MAT-1104,ROH,ROH Component 104,kg,1100,PD,28.0,61.0
MAT-1105,HALB,HALB Component 105,PC,1000,,211.0,20.0
MAT-1106,HALB,HALB Component 106,Kilogram,1000 ,,427.0,87.0
MAT-1107,HALB,HALB Component 107,Liter,1000 ,ND,28.0,
MAT-1108,FERT,FERT Component 108,L,1000 ,VB,383.0,15.0
MAT-1109,ROH,ROH Component 109,KG,1000,VB,37.0,46.0
MAT-1110,ROH,ROH Component 110,Kilogram,1100,VB,49.0,64.0
MAT-1111,HALB,HALB Component 111,L,1100,,134.0,6.0
MAT-1112,HALB,HALB Component 112,Liter,1100,ND,,99.0
MAT-1113,ROH,ROH Component 113,Kilogram,DE01,PD,158.0,86.0
MAT-1114,FERT,FERT Component 114,Kilogram,DE01,,496.0,98.0
MAT-1115,HALB,HALB Component 115,EA,1000 ,ND,452.0,27.0
MAT-1116,FERT,FERT Component 116,L,DE01,PD,363.0,85.0
MAT-1117,ROH,ROH Component 117,L,DE01,ND,26.0,17.0
MAT-1118,HALB,HALB Component 118,l,1100,ND,395.0,40.0
MAT-1119,FERT,FERT Component 119,kg,DE01,VB,176.0,96.0
MAT-1120,FERT,FERT Component 120,Liter,1000 ,PD,404.0,80.0
MAT-1034,ROH,ROH Component 34 (DUPLICATE ENTRY),l,1000,VB,76.0,15.0
MAT-1069,FERT,FERT Component 69 (DUPLICATE ENTRY),Liter,1100,PD,389.0,62.0
MAT-1016,FERT,FERT Component 16 (DUPLICATE ENTRY),ea,1000,VB,248.0,
MAT-1059,HALB,HALB Component 59 (DUPLICATE ENTRY),l,1000 ,PD,,42.0
MAT-1048,ROH,ROH Component 48 (DUPLICATE ENTRY),kg,1000 ,,282.0,68.0
MAT-1087,HALB,HALB Component 87 (DUPLICATE ENTRY),ea,DE01,ND,354.0,70.0
